University,,Followers,Hashtags,Comments,Likes
Amherst College,,15000,4.6,3,613.4
Boston College,,89200,2,14.6,3288.2
Bowdoin College,,16200,1.6,5.4,773.2
Brown University,,182000,0.8,11.2,3243
Carnegie Mellon University,,30100,1.4,8.4,1499.8
Clemson University,,197000,0.4,25.8,6241.4
Columbia University,,210000,2.4,13.8,3931.4
Cornell University,,205000,1.6,23.8,5990.4
Dartmouth College,,55900,3.4,33.4,5121.6
Duke University,,167000,2.8,12.4,4386.2
Florida State University,,108000,1.4,27.4,3596.4
George Mason University,,24400,10.6,10.6,997
George Washington University,,40800,0.2,10.2,3266.4
Georgetown University,,73300,0,42.6,2931.8
Georgia Tech University,,66700,4.6,10.6,2791
Harvard University,,1400000,1,62,13565.6
James Madison University,,51100,4.5,9.2,4291.8
North Carolina State University,,86200,1.4,10,2434.8
Old Dominion University,,13400,5.6,3.4,501.8
Penn State University,,160000,1.2,6,3328.4
Princeton University,,312000,2.2,18.4,4287.4
Syracuse University,,75200,5,30,3542.4
UNC Chapel Hill,,108000,1.2,14,55205.2
University of California Berkeley,,164000,4.6,73.8,6997
University of California Los Angeles,,242000,1.2,82,9475
University of Florida,,163000,1.4,18.6,8737.8
University of Georgia,,125000,0.6,53.6,7751
University of Louisville,,21000,0.8,4.8,1563.8
University of Miami,,79800,1,25.6,4381.8
University of Michigan,,258000,0.4,31.2,7732.6
University of Pennsylvania,,154000,1,5.4,2510
University of Pittsburgh,,18800,1,4.2,1257.8
University of Wisconsin,,132000,1.6,21,7991
Virginia Tech,,86900,1,33,6104.8
Wake Forest University,,37800,1.2,7.6,2298.2
William & Mary,,28400,0.6,16.8,1886.6
Williams College,,14300,1,11,996.2
Yale University,,401000,4.8,14,5114.8
